Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	688	692	100	2000	0.97	20191119_150040_688
2	Spectrogram 1	1	724	728	100	2000	0.94	20191119_150040_724
1	Spectrogram 1	1	916	920	100	2000	0.99	20191119_150040_916
1	Spectrogram 1	1	1240	1244	100	2000	0.99	20191119_150040_1240
2	Spectrogram 1	1	1498	1502	100	2000	0.97	20191119_150040_1498
1	Spectrogram 1	1	1657	1661	100	2000	0.96	20191119_150040_1657
2	Spectrogram 1	1	1672	1676	100	2000	0.91	20191119_150040_1672
3	Spectrogram 1	1	1705	1709	100	2000	0.98	20191119_150040_1705
1	Spectrogram 1	1	1870	1874	100	2000	0.92	20191119_150040_1870
1	Spectrogram 1	1	2113	2117	100	2000	0.93	20191119_150040_2113
2	Spectrogram 1	1	2128	2132	100	2000	0.98	20191119_150040_2128
3	Spectrogram 1	1	2152	2156	100	2000	0.91	20191119_150040_2152
4	Spectrogram 1	1	2188	2192	100	2000	0.94	20191119_150040_2188
5	Spectrogram 1	1	2197	2201	100	2000	0.98	20191119_150040_2197
6	Spectrogram 1	1	2203	2207	100	2000	1	20191119_150040_2203
1	Spectrogram 1	1	2410	2414	100	2000	0.93	20191119_150040_2410
2	Spectrogram 1	1	2497	2501	100	2000	0.95	20191119_150040_2497
3	Spectrogram 1	1	2617	2621	100	2000	0.92	20191119_150040_2617
1	Spectrogram 1	1	2734	2738	100	2000	0.94	20191119_150040_2734
2	Spectrogram 1	1	2953	2957	100	2000	0.95	20191119_150040_2953
3	Spectrogram 1	1	2998	3002	100	2000	0.92	20191119_150040_2998
1	Spectrogram 1	1	3301	3305	100	2000	0.9	20191119_150040_3301
2	Spectrogram 1	1	3322	3326	100	2000	0.97	20191119_150040_3322
3	Spectrogram 1	1	3547	3551	100	2000	0.98	20191119_150040_3547
4	Spectrogram 1	1	3577	3581	100	2000	0.97	20191119_150040_3577
