Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	391	395	100	2000	0.9	20191029_120323_391
1	Spectrogram 1	1	988	992	100	2000	0.9	20191029_120323_988
1	Spectrogram 1	1	1858	1862	100	2000	0.91	20191029_120323_1858
1	Spectrogram 1	1	2935	2939	100	2000	0.93	20191029_120323_2935
1	Spectrogram 1	1	3046	3050	100	2000	0.94	20191029_120323_3046
2	Spectrogram 1	1	3259	3263	100	2000	0.95	20191029_120323_3259
3	Spectrogram 1	1	3394	3398	100	2000	0.9	20191029_120323_3394
4	Spectrogram 1	1	3532	3536	100	2000	0.92	20191029_120323_3532
