Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	727	731	100	2000	0.95	20191119_100040_727
1	Spectrogram 1	1	1195	1199	100	2000	0.92	20191119_100040_1195
1	Spectrogram 1	1	2056	2060	100	2000	0.96	20191119_100040_2056
1	Spectrogram 1	1	2155	2159	100	2000	0.91	20191119_100040_2155
1	Spectrogram 1	1	2497	2501	100	2000	0.98	20191119_100040_2497
2	Spectrogram 1	1	2623	2627	100	2000	1	20191119_100040_2623
1	Spectrogram 1	1	2761	2765	100	2000	0.97	20191119_100040_2761
1	Spectrogram 1	1	3004	3008	100	2000	0.96	20191119_100040_3004
2	Spectrogram 1	1	3055	3059	100	2000	0.97	20191119_100040_3055
3	Spectrogram 1	1	3562	3566	100	2000	0.93	20191119_100040_3562
