Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	475	479	100	2000	0.96	20191119_180040_475
1	Spectrogram 1	1	709	713	100	2000	0.96	20191119_180040_709
1	Spectrogram 1	1	1135	1139	100	2000	0.92	20191119_180040_1135
1	Spectrogram 1	1	2497	2501	100	2000	0.98	20191119_180040_2497
2	Spectrogram 1	1	2659	2663	100	2000	0.93	20191119_180040_2659
1	Spectrogram 1	1	3073	3077	100	2000	0.95	20191119_180040_3073
2	Spectrogram 1	1	3472	3476	100	2000	0.94	20191119_180040_3472
3	Spectrogram 1	1	3478	3482	100	2000	0.91	20191119_180040_3478
4	Spectrogram 1	1	3484	3488	100	2000	0.91	20191119_180040_3484
5	Spectrogram 1	1	3490	3494	100	2000	0.9	20191119_180040_3490
